"sound/ambient/30-60HzHum.flac","CC BY-SA 3.0","Tim “Timbo” Angus"
"sound/ambient/drone1.flac","CC BY-SA 3.0","Tim “Timbo” Angus"
"sound/ambient/drone2.flac","CC BY-SA 3.0","Tim “Timbo” Angus"
"sound/ambient/electricspark.flac","CC BY-SA 3.0","Mike Koenig","FisherP"
"sound/ambient/fan.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/ambient/quickpulse.flac","CC BY-SA 3.0","Mike Koenig","FisherP"
"sound/ambient/slowpulse1.flac","CC BY-SA 3.0","Mike Koenig","FisherP"
"sound/ambient/steam.flac","CC BY-SA 3.0","Mike Koenig","FisherP"
"sound/ambient/water1.flac"
"sound/ambient/water_drip_fast.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/ambient/water_drip_med.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/ambient/water_drip_slow.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/ambient/water_rush.flac","CC BY 3.0","Caroline Ford","FisherP"
"sound/ambient/wind1.flac","CC BY 3.0","Stilgar","FisherP"
"sound/ambient/wind2.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/announcements/overmindattack.flac","CC BY-SA 3.0","FisherP"
"sound/announcements/overminddying.flac","CC BY-SA 3.0","FisherP"
"sound/announcements/overmindevolved.flac","CC BY-SA 3.0","FisherP"
"sound/announcements/overmindspawns.flac","CC BY-SA 3.0","FisherP"
"sound/announcements/reinforcement.flac","CC BY-SA 3.0","FisherP"
"sound/buildables/acid_tube/attack1.flac","CC BY 3.0","FisherP"
"sound/buildables/acid_tube/construct1.flac","CC BY 3.0","FisherP"
"sound/buildables/acid_tube/pain1.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/acid_tube/pain2.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/alien/attack1.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/alien/attack2.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/alien/construct1.flac","CC BY 3.0","FisherP"
"sound/buildables/alien/construct2.flac","CC BY-SA 3.0","Bradley Torrison"
"sound/buildables/alien/damage.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/alien/destroy1.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/alien/destroy2.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/alien/destroyed.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/alien/explosion.flac","CC BY 3.0","FisherP"
"sound/buildables/alien/idle1.flac","CC BY 3.0","Stephan","FisherP"
"sound/buildables/alien/idle2.flac","CC BY 3.0","Stephan","FisherP"
"sound/buildables/alien/idle3.flac","CC BY 3.0","Stephan","FisherP"
"sound/buildables/alien/pain1.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/alien/pain2.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/alien/prebuild.flac","CC BY 3.0","FisherP"
"sound/buildables/alien/spawn1.flac","CC BY 3.0","Hell's Sound Guy","Zach “Kiwi” Lawrence"
"sound/buildables/alien/spawn2.flac","CC BY 3.0","Hell's Sound Guy","Zach “Kiwi” Lawrence"
"sound/buildables/barricade/construct1.flac","CC BY 3.0","FisherP"
"sound/buildables/barricade/destroyed.flac","CC BY 3.0","FisherP"
"sound/buildables/barricade/pain1.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/barricade/pain2.flac","CC BY 3.0","Mike Koenig","FisherP"
"sound/buildables/booster/pain1.flac","CC BY 3.0","FisherP"
"sound/buildables/dcc/idle1.flac","CC Sampling Plus 1.0","gyzhor"
"sound/buildables/eggpod/pain1.flac","CC Sampling Plus 1.0","Flasher21"
"sound/buildables/eggpod/pain2.flac","CC Sampling Plus 1.0","SlykMrByches"
"sound/buildables/hive/pain1.flac","CC Sampling Plus 1.0","Flasher21"
"sound/buildables/hive/pain2.flac","CC Sampling Plus 1.0","SlykMrByches"
"sound/buildables/human/attack1.flac","CC Sampling Plus 1.0","Syna-Max"
"sound/buildables/human/attack2.flac","CC Sampling Plus 1.0","Syna-Max"
"sound/buildables/human/construct1.flac","CC Sampling Plus 1.0","PhreaKsAccount"
"sound/buildables/human/construct2.flac","CC Sampling Plus 1.0","PhreaKsAccount"
"sound/buildables/human/damage0.flac","CC Sampling Plus 1.0","FreqMan","DeadMeat"
"sound/buildables/human/damage1.flac","CC Sampling Plus 1.0","BmacZero","Zach “Kiwi” Lawrence"
"sound/buildables/human/damage2.flac","CC BY-SA 3.0","Freezway","Zach “Kiwi” Lawrence"
"sound/buildables/human/damage3.flac","CC BY-SA 3.0","Freezway","Zach “Kiwi” Lawrence"
"sound/buildables/human/damage.flac","CC Sampling Plus 1.0","FreqMan","DeadMeat"
"sound/buildables/human/destroy1.flac","CC Sampling Plus 1.0","Sagetyrtle","Freezway"
"sound/buildables/human/destroy2.flac","CC Sampling Plus 1.0","Sagetyrtle","Freezway"
"sound/buildables/human/destroyed.flac","CC Sampling Plus 1.0","Sagetyrtle","Freezway"
"sound/buildables/human/explosion.flac","CC Sampling Plus 1.0","themfish","Zach “Kiwi” Lawrence"
"sound/buildables/human/fragmentbounce.flac","CC BY-SA 3.0","Freezway","Zach “Kiwi” Lawrence"
"sound/buildables/human/idle1.flac","CC Sampling Plus 1.0","DJ Chronos"
"sound/buildables/human/idle2.flac","CC Sampling Plus 1.0","DJ Chronos"
"sound/buildables/human/idle3.flac","CC Sampling Plus 1.0","DJ Chronos"
"sound/buildables/human/pain1.flac"
"sound/buildables/human/pain2.flac"
"sound/buildables/human/prebuild.flac","CC Sampling Plus 1.0","Rweale"
"sound/buildables/human/repaired.flac","CC Sampling Plus 1.0","RunnerPack"
"sound/buildables/human/repair.flac","CC Sampling Plus 1.0","gelo_papas","Zach “Kiwi” Lawrence"
"sound/buildables/human/spawn1.flac","CC Sampling Plus 1.0","PhreaKsAccount"
"sound/buildables/human/spawn2.flac","CC Sampling Plus 1.0","PhreaKsAccount"
"sound/buildables/medistat/attack1.flac","CC Sampling Plus 1.0","PhreaKsAccount","Freezway"
"sound/buildables/medistat/idle1.flac","CC BY-SA 3.0","Pazuzu"
"sound/buildables/mgturret/attack1.flac","CC Sampling Plus 1.0","Ghostex","Zach “Kiwi” Lawrence"
"sound/buildables/mgturret/firetemplate.flac","CC Sampling Plus 1.0","Robinhood76"
"sound/buildables/mgturret/idle1.flac","CC BY-SA 3.0","Pazuzu"
"sound/buildables/mgturret/spinup.flac","CC Sampling Plus 1.0","xsub","Cron"
"sound/buildables/overmind/construct1.flac"
"sound/buildables/overmind/idle1.flac","CC Sampling Plus 1.0","Robinhood76"
"sound/buildables/overmind/pain1.flac","CC Sampling Plus 1.0","Rock Savage"
"sound/buildables/overmind/pain2.flac","CC Sampling Plus 1.0","Rock Savage"
"sound/buildables/reactor/attack1.flac","CC Sampling Plus 1.0","SpeedY","Zach “Kiwi” Lawrence"
"sound/buildables/reactor/idle1.flac","CC Sampling Plus 1.0","Therac-25"
"sound/buildables/repeater/idle1.flac","CC BY-SA 3.0","Victor W. Tong"
"sound/buildables/repeater/use.flac","CC BY-SA 3.0","Victor W. Tong"
"sound/buildables/rocketpod/firing.flac","CC BY-SA 3.0","Maximilian “Viech” Stahlberg"
"sound/buildables/rocketpod/lockon.flac","CC BY-SA 3.0","Maximilian “Viech” Stahlberg"
"sound/buildables/telenode/construct1.flac","CC BY-SA 3.0","Victor W. Tong"
"sound/buildables/tesla/idle1.flac"
"sound/buildables/tesla/tesla_fire.flac","CC Sampling Plus 1.0","Halleck","Freezway"
"sound/buildables/trapper/attack1.flac","CC Sampling Plus 1.0","Rock Savage"
"sound/buildables/trapper/pain1.flac","CC Sampling Plus 1.0","Rock Savage"
"sound/buildables/trapper/pain2.flac","CC Sampling Plus 1.0","Rock Savage"
"sound/feedback/beacon.ogg","CC0 1.0","Paweł “enneract” Redman"
"sound/feedback/beacon-tag.ogg","CC0 1.0","Paweł “enneract” Redman"
"sound/feedback/beacon-tag-owned.ogg","CC0 1.0","Paweł “enneract” Redman"
"sound/feedback/beacon-target-lost.ogg","CC0 1.0","Paweł “enneract” Redman"
"sound/feedback/beacon-timer-expired.ogg","CC0 1.0","Paweł “enneract” Redman"
"sound/feedback/hit.flac","CC Sampling Plus 1.0","FreqMan","DeadMeat"
"sound/misc/alien_talk.flac","CC BY-SA 3.0","Brandon Morris","Zach “Kiwi” Lawrence"
"sound/misc/disconnect.flac","CC BY-SA 3.0","Brandon Morris","Zach “Kiwi” Lawrence"
"sound/misc/electro.flac","CC Sampling Plus 1.0","SpeedY","Zach “Kiwi” Lawrence"
"sound/misc/fry.flac","CC BY 3.0","Mike Koenig"
"sound/misc/hard_bounce1.flac","CC BY-SA 3.0","Brandon Morris"
"sound/misc/hard_bounce2.flac","CC BY-SA 3.0","Brandon Morris"
"sound/misc/human_talk.flac","CC BY-SA 3.0","Brandon Morris","Zach “Kiwi” Lawrence"
"sound/misc/menu1.flac","CC BY-SA 3.0","Brandon Morris"
"sound/misc/menu2.flac","CC BY-SA 3.0","Brandon Morris"
"sound/misc/menu3.flac","CC BY-SA 3.0","Brandon Morris"
"sound/misc/menu4.flac","CC BY-SA 3.0","Brandon Morris"
"sound/misc/organic_bounce.flac","CC BY-SA 3.0","Brandon Morris"
"sound/misc/talk.flac","CC BY-SA 3.0","Brandon Morris","Zach “Kiwi” Lawrence"
"sound/movers/doors/dr1_end.flac","CC Sampling Plus 1.0","Analog Bleep Ten","Freezway"
"sound/movers/doors/dr1_strt.flac","CC Sampling Plus 1.0","Robinhood76","Zach “Kiwi” Lawrence"
